id,pokemon_ability_id,effect,language,short_effect
70,70,"Das weather ändert sich zu starkem Sonnenlicht wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt. Dieser Effekt ist dauerhaft bis das weather geändert wird.

Wenn mehrere Pokémon mit dieser Fähigkeit, drizzle, sand stream oder snow warning zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room.",de,Ändert beim Betreten des Kampfes das weather in starkes Sonnenlicht.
71,71,"Wenn ein Pokémon mit dieser Fähigkeit im Kampf ist, kann der Gegner nicht fliehen oder ausgetauscht werden. flying Pokémon und schwebende, z.B. durch levitate oder magnet rise sind nicht betroffen.

Pokémon mit run away können trotzdem fliehen. Pokémon können mit bestimmten Items oder Attacken ausgetauscht werden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, ist die Wahrscheinlichkeit einem wilden Pokémon zu begegnen doppelt so hoch wie normal.",de,"Verhindert, dass der Gegner flieht oder ausgetauscht wird wenn er nicht vom Typ flying ist oder schwebt."
72,72,"Ein Pokémon mit dieser Fähigkeit kann nicht einschlafen.

rest schlägt fehl. Wenn ein Pokémon schläft und diese Fähigkeit erhält, wacht es sofort auf. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.

Diese Fähigkeit ist identisch mit insomnia.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen Pokémon mit einem höheren Level häufiger auf.",de,Verhindert sleep.
73,73,"Einem Pokémon mit dieser Fähigkeit können keine negativen Statuswerte Änderungen von anderen Pokémon zugefügt werden.

Diese Fähigkeit verhindert keine stat modifiers die nicht direkt verursacht wurden, wie die verminderte speed durch paralysis oder selbstverursachte negative Statuswerteänderungen wie durch overheat. Dem Pokémon können trotzdem negative Statuswerte mit guard swap, heart swap oder power swap übertragen werden.

Diese Fähigkeit ist identisch mit clear body im Kampf.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen wilde Pokémon nur halb so oft auf.",de,Verhindert negative stat modifier von anderen Pokémon.
74,74,"Solange sich ein Pokémon mit dieser Fähigkeit im Kampf befindet ist sein attack doppelt so hoch wie sonst.

Dieser Bonus zählt nicht als stat modifier.

Diese Fähigkeit ist identisch mit huge power.",de,Verdoppelt den attack im Kampf.
75,75,"Attacken können keinen kritischen Treffer landen.

Diese Fähigkeit ist identisch mit battle armor.",de,Schützt vor kritischen Treffern.
76,76,"Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann das weather zwar geändert werden, hat aber keinen Effekt.

Diese Fähigkeit ist identisch mit cloud nine.",de,Entfernt alle Wettereffekte aber ändert nicht das weather selbst.
77,77,"Wenn ein Pokémon mit diese Fähigkeit verwirrt ist, ist sein evasion doppelt so hoch wie sonst.",de,Verdoppelt den evasion bei confusion.
78,78,"Wenn ein Pokémon mit dieser Fähigkeit von einer electric Attacke getroffen wird, erhöht sich seine speed um 1 Stufe, wobei andere Effekte der Attacke ignoriert werden.

Die Fähigkeit wirkt nicht, wenn das Pokémon immun gegen electric Attacken ist. electric Attacken ignorieren den substitute des Pokémons.

Der Effekt wird auch bei Attacken ausgelöst die keinen Schaden verursachen, wie z.B. thunder wave.",de,Absorbiert electric Attacken und erhöht dabei die speed um 1 Stufe.
79,79,"Ein Pokémon mit dieser Fähigkeit verurascht gegen Gegner vom gleichen Geschlecht 25% mehr Schaden und gegen Pokémon vom anderen Geschlecht 25% weniger Schaden.

Wenn eins der Pokémon geschlechtslos ist, wird der Schaden nicht beeinflusst.",de,Erhöht den verursachten Schaden gegen Pokémon vom gleichen Geschlecht um 25% aber senkt ihn auf 0.75% gegen das andere Geschlecht.
80,80,"Wenn ein Pokémon mit dieser Fähigkeit zurückschreckt, wird seine speed um 1 Stufe erhöht.",de,Erhöht die speed um 1 Stufe wenn das Pokémon zurückschreckt.
81,81,"Während es hagelt hat ein Pokémon mit dieser Fähigkeit einen um 25% erhöhten evasion und es nimmt keinen Schaden durch hail.

Der Bonus zählt nicht als Statuswerte Änderung.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen nur halb so viele wilde Pokémon auf wenn es schneit.",de,Erhöht den evasion um 25% während es hagelt. Kein Schaden durch hail.
82,82,"Pokémon mit dieser Fähigkeit essen eine getragene Beere, wenn sie weniger als die Hälfte ihrer maximalen hp haben, unabhängig von der Auslöseschwelle der Beere.",de,"Lässt das Pokémon eine getragene Beere essen, wenn es weniger als die Hälfte seiner maximalen hp hat."
83,83,"Wenn ein Pokémon mit dieser Fähigkeit von einem kritischen Treffer getroffen wird, erhöht sich sein attack auf die höchste Stufe von 6.

Die Fähigkeit löst auch aus, wenn der kritische Treffer vom substitute abgefangen wird.",de,Erhöht den attack auf die höchste Stufe (6) wenn es einen kritischen Treffer erleidet.
84,84,"Wenn ein Pokémon mit dieser Fähigkeit ein getragenes Item benutzt oder verliert, wird seine speed verdoppelt. Wenn es ein neues Item erhält oder den Kampf verlässt, erlischt der Bonus.

Das passiert auch, wenn das Item durch knock off fallengelassen wird. Der Bonus zählt nicht als Statuswert-Änderung. Es gibt keine Benachrichtigung wenn der Effekt eintritt.",de,Verdoppelt die speed wenn das Pokémon ein getragenes Item benutzt oder verliert.
85,85,Pokémon mit dieser Fähigkeit erhalten nur halben Schaden von fire Attacken und Verbrennungen.,de,Halbiert den Schaden von fire Attacken und burn.
86,86,"Jede Stufe einer Statuswerte-Änderung agiert als 2 Stufen. Diese Doppelstufen sind trotzdem limitiert auf ein Minimum von -6 und ein Maximum von 6.

Pokémon mit dieser Fähigkeit können trotzdem weniger als -3 oder mehr als 3 Stufen erhalten, aber die zusätzlichen Stufen haben nach der Verdoppelung keinen Effekt.",de,Verdoppelt die Statuswerte-Änderungen. Die Änderungen gehen nicht über -6 oder 6 Stufen hinaus.
87,87,"Pokémon mit dieser Fähigkeit nehmen 1/8 ihrer maximalen hp Schaden nach jeder Runde mit starkem Sonnenlicht, aber sie heilen 1/8 ihrer maximalen hp nach jeder Runde in der es regnet. Sie nehmen außerdem 1,25× so viel Schaden von fire Attacken, absorbieren aber dafür water Attacken und heilen dabei 1/4 ihrer maximalen hp.",de,"Erleidet 1/8 der max hp Schaden während starkem Sonnenlicht, aber heilt 1/8 der max hp während rain. Erhöht den erhaltenen Schaden durch fire Attacken um 25%, aber absorbiert water Attacken, und heilt dabei 1/4 der max hp."
88,88,"Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, wird sein attack oder special attack um 1 Stufe erhöht, je nachdem, welcher Verteidigungswert des Gegners niedriger ist. Bei Gleichstand wird der special attack erhöht.

Die Fähigkeit löst auch aus, wenn sie während des Kampfes erlangt wird.",de,Erhöht den Angriffswert entsprechend des schwächeren Verteidigungswerts um 1 Stufe beim Betreten des Kampfs.
89,89,"Die schlagbasierten Attacken von Pokémon mit dieser Fähigkeit, haben 1,2× so viel Stärke.

sucker punch ist nicht schlagbasiert, der Japanische Name bedeutet ""Überaschungsangriff"".",de,Verstärkt schlagbasierte Attacken um 20%.
90,90,"Wenn ein Pokémon mit dieser Fähigkeit vergiftet ist, erhält es anstatt Schaden zu erleiden 1/8 seiner maximalen hp nach jeder Runde. Das gilt auch für schwere poison.",de,Heilt jede Runde 1/8 der max hp wenn vergiftet.
91,91,"Pokémon mit dieser Fähigkeit verursachen 2× so viel Schaden, wenn die Attacke dem Typ des Pokémon gleicht, anstatt dem üblichen STAB von 1,5×.",de,"Erhöht den STAB von 1,5× auf 2×."
92,92,Mehrfach treffende Attacken wie icicle spear von Pokémon mit dieser Fähigkeit treffen immer mit der höchsten Anzahl (meistens 5x mal). Außerdem wird die Genauigkeit von triple kick zweiten und dritten Treffer nicht überprüft.,de,Erweitert mehrfach treffende Attacken wie triple kick zu ihrer vollen Länge.
93,93,Pokémon mit dieser Fähigkeit werden am Ende jeder Runde von major status ailment geheilt wenn es regnet.,de,Heilt jede Runde eine major status ailment wenn es regnet.
94,94,"Während starkem Sonnenlicht, wird der special attack von Pokémon mit dieser Fähigkeit um 50% erhöht, dafür erleidet es 1/8 seiner maximalen hp Schaden am Ende der Runde.",de,Erhöht den special attack um 50% aber zieht jede Runde 1/8 der max hp ab während starkem Sonnenlicht.
95,95,"Wenn ein Pokémon mit dieser Fähigkeit unter einer major status ailment leidet, hat es 1,5× so viel speed wie sonst. Die speed des Pokémon wird nicht halbiert, wenn es paralysiert ist.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen wilde Pokémon nur halb so oft auf.",de,Erhöht die speed um 50% wenn das Pokémon an einer major status ailment leidet.
96,96,"Attacken von Pokémon mit dieser Fähigkeit agieren alle als normal Attacken.

Attacken die typenlosen Schaden verursachen werden nicht beeinflusst. Attacken mit variablen Typ, so wie hidden power, werden beeinflusst. Sie funktionieren sonst wie üblich, aber z.B. weather ball wird immer vom Typ normal sein, aber es sieht trotzdem anders aus und hat doppelte Stärke bei Wettereffekten.

So wie thunder wave durch Immunitäten verhindert wird, anders als die meisten Attacken ohne Schaden, werden ghost Pokémon nicht beeinflusst vom Effekt dieser Fähigkeit.",de,Attacken des Pokémon werden alle zu normal Attacken.
97,97,Pokémon mit dieser Fähigkeit verursachen bei kritischen Treffern 3× so viel Schaden anstatt 2× wie sonst.,de,"Verstärkt kritische Treffer, so dass sie 3× so viel Schaden verursachen anstatt 2×."
98,98,"Pokémon mit dieser Fähigkeit sind immun gegen alle Schäden die nicht direkt von Attacken verursacht werden.

Zum Beispiel nimmt ein Pokémon mit dieser Fähigkeit keinen Schaden durch Wettereffekte, Rückstoß, status ailments oder spikes, aber es leidet trotzdem unter dem Angriffsverlust durch burn. Ein life orb verstärkt die Attacken des Pokémons ohne ihm zu schaden. Alles was direkt von solchem Schaden abhängt hat ebenfalls keinen Effekt. leech seed z.B. wird weder das Pokémon mit dieser Fähigkeit verletzen, noch wird der Gegner geheilt und Gegner die eine jaboca berry oder eine rowap berry tragen werden diese nicht verbrauchen wenn sie von diesem Pokémon getroffen werden.

Die folgenden Attacken sind nicht betroffen: struggle, pain split (egal ob von dem oder gegen das Pokémon benutzt), belly drum, substitute, curse, Attacken die den Anwender ausknocken sowie Schaden durch confusion.

Pokémon mit dieser Fähigkeit werden durhc weder hp verlieren noch dazugewinnen wenn sie hp von einem Pokémon mit liquid ooze absaugen.

Wenn das Pokémon schwer vergiftet wurde, wird der Vergiftungstimer trotzdem jede Runde erhöht. Verliert das Pokémon die Fähigkeit wird es so viel Schaden verlieren wie es ohne die Fähigkeit verlieren würde.",de,Schützt vor jeglichem Schaden der nicht direkt von Attacken verursacht wird.
99,99,"Attacken die gegen ein oder von einem Pokémon mit dieser Fähigkeit eingesetzt werden treffen immer.

K.O.-Attacken sind davon nicht betroffen. Attacken die von der Fähigkeit beeinflusst werden können auch in Vorbereitungsrunden von dig oder fly treffen.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, ist die Wahrscheinlichkeit einem wilden Pokémon zu begegnen doppelt so hoch wie normal.",de,Stellt sicher das Attacken die von dem oder gegen das Pokémon eingesetzt werden treffen.
100,100,"Attacken dieses Pokémon kommen zu letzt ohne dabei die Prioritäten der Attacken zu umgehen.

Mehrere Pokémon mit dieser Fähigkeit greifen in Reihenfolge ihrer speed an.

full incense und lagging tail erhalten den Vortritt zur Fähigkeit, was bedeutet, dass Pokémon mit diesen Items nach Pokémon mit dieser Fähigkeit agieren. Pokémon mit dieser Fähigkeit und eines der Items werden nur so viel verzögert, als hätten sie nur das Item.

Diese Fähigkeit funktioniert normal während trick room, Pokémon mit dieser Fähigkeit greifen in umgekehrter Reihenfolge der speed nach den Pokémon ohne die Fähigkeit an.",de,Lässt das Pokémon als letztes angreifen innerhalb des Prioritätsspielraums der Attacken
